calories,carbs,fat,name,resturant
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
350,60,10,A&W® Diet Root Beer Float (large),aw-restaurants
170,30,5,A&W® Diet Root Beer Float (medium),aw-restaurants
170,30,5,A&W® Diet Root Beer Float (small),aw-restaurants
600,92,18,A&W® Diet Root Beer Freeze (large),aw-restaurants
340,53,10,A&W® Diet Root Beer Freeze (medium),aw-restaurants
260,39,8,A&W® Diet Root Beer Freeze (small),aw-restaurants
160,43,0,A&W® Root Beer,aw-restaurants
220,58,0,A&W® Root Beer,aw-restaurants
270,72,0,A&W® Root Beer,aw-restaurants
440,116,0,A&W® Root Beer,aw-restaurants
880,232,0,A&W® Root Beer,aw-restaurants
1760,464,0,A&W® Root Beer,aw-restaurants
640,136,10,A&W® Root Beer Float (large),aw-restaurants
350,77,5,A&W® Root Beer Float (medium),aw-restaurants
330,70,5,A&W® Root Beer Float (small),aw-restaurants
820,150,18,A&W® Root Beer Freeze (large),aw-restaurants
480,89,10,A&W® Root Beer Freeze (medium),aw-restaurants
370,68,8,A&W® Root Beer Freeze (small),aw-restaurants
270,67,0,Blue Raspberry Slushee,aw-restaurants
370,91,0,Blue Raspberry Slushee,aw-restaurants
570,142,0,Blue Raspberry Slushee,aw-restaurants
740,182,0,Blue Raspberry Slushee,aw-restaurants
480,62,27,Breaded Onion Rings (Large),aw-restaurants
350,45,16,Breaded Onion Rings (Regular),aw-restaurants
340,57,9,Caramel Sundae,aw-restaurants
1140,54,80,Cheese Curds (Large),aw-restaurants
570,27,40,Cheese Curds (Regular),aw-restaurants
350,26,22,Cheese Dog,aw-restaurants
390,50,18,Cheese Fries,aw-restaurants
420,37,21,Cheeseburger,aw-restaurants
190,51,0,Cherry Limeade,aw-restaurants
300,79,0,Cherry Limeade,aw-restaurants
340,90,0,Cherry Limeade,aw-restaurants
530,138,0,Cherry Limeade,aw-restaurants
330,83,0,Cherry Slushee,aw-restaurants
450,112,0,Cherry Slushee,aw-restaurants
570,141,0,Cherry Slushee,aw-restaurants
900,224,0,Cherry Slushee,aw-restaurants
500,32,29,Chicken Strips- 3 pieces,aw-restaurants
190,22,6,Chili,aw-restaurants
410,52,17,Chili Cheese Fries,aw-restaurants
370,49,15,Chili Fries,aw-restaurants
490,68,30,Chocolate Fudge Blendrrr,aw-restaurants
560,92,32,Chocolate Fudge Blendrrr,aw-restaurants
1010,152,59,Chocolate Fudge Blendrrr,aw-restaurants
880,125,36,Chocolate Milkshake (medium),aw-restaurants
700,100,29,Chocolate Milkshake (small),aw-restaurants
320,53,8,Chocolate Sundae,aw-restaurants
380,28,23,Coney (Chili) Cheese Dog,aw-restaurants
340,26,20,Coney (Chili) Dog,aw-restaurants
280,32,13,Corn Dog Nuggets® (Regular),aw-restaurants
180,20,8,Corn Dog Nuggets® (Small/ Kids),aw-restaurants
550,52,25,Crispy Chicken Sandwich,aw-restaurants
340,34,19,Crunchy Shrimp,aw-restaurants
170,2,12,Extra Burger Patty,aw-restaurants
430,61,17,French Fries (Large),aw-restaurants
310,45,12,French Fries (Regular),aw-restaurants
200,28,8,French Fries (Small/ Kids),aw-restaurants
400,31,15,Grilled Chicken Sandwich,aw-restaurants
380,33,19,Hamburger,aw-restaurants
310,23,19,Hot Dog (plain),aw-restaurants
350,54,11,Hot Fudge Sundae,aw-restaurants
330,82,0,Lemon Slushee,aw-restaurants
440,110,0,Lemon Slushee,aw-restaurants
560,139,0,Lemon Slushee,aw-restaurants
890,221,0,Lemon Slushee,aw-restaurants
280,69,0,Lime Slushee,aw-restaurants
380,94,0,Lime Slushee,aw-restaurants
480,119,0,Lime Slushee,aw-restaurants
770,188,0,Lime Slushee,aw-restaurants
140,38,0,Limeade,aw-restaurants
210,55,0,Limeade,aw-restaurants
250,66,0,Limeade,aw-restaurants
390,103,0,Limeade,aw-restaurants
710,107,25,M&M’s® Polar Swirl®,aw-restaurants
610,137,9,Orange Float (large),aw-restaurants
340,81,4.5,Orange Float (medium),aw-restaurants
320,74,4.5,Orange Float (small),aw-restaurants
600,142,10,Orange Freeze (medium),aw-restaurants
970,223,18,Orange Freeze (medium),aw-restaurants
450,108,8,Orange Freeze (small),aw-restaurants
340,56,12,Oreo® Cookies & Cream Blendrrr,aw-restaurants
430,72,15,Oreo® Cookies & Cream Blendrrr,aw-restaurants
650,109,21,Oreo® Cookies & Cream Blendrrr,aw-restaurants
690,107,24,Oreo® Polar Swirl®,aw-restaurants
530,39,30,Original Bacon Cheeseburger,aw-restaurants
760,45,45,Original Bacon Double Cheeseburger,aw-restaurants
680,44,38,Original Double Cheeseburger,aw-restaurants
690,44,39,Papa Burger®,aw-restaurants
470,38,25,Papa Single Burger,aw-restaurants
400,85,6,Pineapple Banana Smoothee,aw-restaurants
480,104,6,Pineapple Banana Smoothee,aw-restaurants
750,160,10,Pineapple Banana Smoothee,aw-restaurants
700,103,41,Reese’s® Peanut Butter Fudge Blendrrr,aw-restaurants
710,108,41,Reese’s® Peanut Butter Fudge Blendrrr,aw-restaurants
1360,203,79,Reese’s® Peanut Butter Fudge Blendrrr,aw-restaurants
740,97,31,Reese’s® Polar Swirl®,aw-restaurants
390,78,6,Strawberry Banana Smoothee,aw-restaurants
420,86,6,Strawberry Banana Smoothee,aw-restaurants
680,137,10,Strawberry Banana Smoothee,aw-restaurants
230,58,0,Strawberry Limeade,aw-restaurants
290,75,0,Strawberry Limeade,aw-restaurants
420,105,0,Strawberry Limeade,aw-restaurants
560,143,0,Strawberry Limeade,aw-restaurants
840,113,36,Strawberry Milkshake (medium),aw-restaurants
670,90,29,Strawberry Milkshake (small),aw-restaurants
360,70,6,Strawberry Smoothee,aw-restaurants
370,74,6,Strawberry Smoothee,aw-restaurants
610,121,10,Strawberry Smoothee,aw-restaurants
300,47,8,Strawberry Sundae,aw-restaurants
260,41,7,Vanilla Cone (large),aw-restaurants
200,32,5,Vanilla Cone (regular),aw-restaurants
900,121,39,Vanilla Milkshake (medium,aw-restaurants
720,97,31,Vanilla Milkshake (small),aw-restaurants
270,73,0,Watermelon Slushee,aw-restaurants
360,99,0,Watermelon Slushee,aw-restaurants
460,124,0,Watermelon Slushee,aw-restaurants
